ID,Active,Custom,Level,Gender,ExtraGold,ExtraWood,ExtraStone,ExtraIron,ExtraOil,IDBonusTechnologies,IDBonusEntities,Mods,
Mayor_301,Y,,2,Female,,,,,,,,"Dwelling GoldGen +10%",
Mayor_302,Y,,3,Male,,,,,,,,"Dwelling GoldGen +20%
Dwelling EnergyNeeded +20%",
Mayor_303,Y,,1,Female,,,,,,,,"RangerAttack TimeAction -50%
RangerAttack Damage +2
RangerAttackVeteran TimeAction -60%
RangerAttackVeteran Damage +3",
Mayor_304,Y,,4,Male,,,,,,,,"GiantAttack Damage +160
Giant Life +400%
Giant RunSpeed +50%
CommandCenter GoldGen +3000
CommandCenter OilGen +30",
Mayor_305,Y,,1,Female,,,,,,,,"CommandCenter GoldGen +800
ZombieWeakA Life +100%
ZombieWeakB Life +100%
ZombieWeakC Life +100%",
Mayor_306,Y,,2,Male,,,,,,,,"Human BuildingTimeFactor -30%
ZombieDressedA Life +100%
ZombieDressedA RunSpeed +50%",
Mayor_307,Y,,3,Female,,,,,,,,"CommandCenter WatchRange +200
ZombieStrongA Life +300%",
Mayor_308,Y,,4,Male,,,,,,,,"Human FoodNeeded -100%
Human BuildingTimeFactor -30%
Harpy Life +250%
Harpy RunSpeed +120%",
Mayor_309,Y,,4,Female,,,,,,,,"AdvancedFarm ResourceGeneration +60%
Farm ResourceGeneration +50%
SpitterAttack Damage +60
SpitterAttack EffectRadius +100%
Spitter Life +100%",
Mayor_310,Y,,1,Male,,,,,,"TechBallista
TechLookoutTower",,,
Mayor_311,,,1,Female,,,,,,,,,
Mayor_312,,,1,Male,,,,,,"TechFarm
TechSniper",,,
Mayor_313,Y,,1,Female,,,,,,,,"Ranger RunSpeed +30%",
Mayor_314,Y,,1,Male,,,,,,,,"Sniper RunSpeed +20%",
Mayor_315,Y,,1,Female,,,,,,,,"WoodTraps Life +300%
WoodTraps GoldCost +30",
Mayor_316,Y,,1,Male,,,,,,,,"IronTraps Life +300%
IronTraps GoldCost +100",
Mayor_317,,,1,Female,,,,,,,,,
Mayor_318,Y,,3,Male,,,,,,,,"ThanatosRocket TimePreAction -50%
ThanatosRocket TimeLoad -60%
Thanatos OilGen -2",
Mayor_319,Y,,2,Female,,,,,,,,"Ranger WorkersNeeded +1
Ranger FoodNeeded -1",
Mayor_400,Y,,2,Male,,,,,,,,"Sniper WorkersNeeded +1
Sniper FoodNeeded -1",
Mayor_401,,,2,Female,,,,,,,,"Soldier WorkersNeeded +1
Soldier FoodNeeded -1",
Mayor_402,Y,,2,Male,,,,,,,"TheAcademy","CommandCenter GoldGen +500
ZombieWeakA Life +465
ZombieWeakB Life +465
ZombieWeakC Life +465",
Mayor_403,Y,,3,Female,,,,,,,,"Lucifer Life +200%
Lucifer OilGen -1",
Mayor_404,Y,,3,Male,,,,,,,,"Titan Life +50%
Titan OilGen -1",
Mayor_405,Y,,3,Female,,,,,,,,"Thanatos Life +100%
Titan OilGen -1",
Mayor_406,Y,,3,Male,,,,,,,,"TitanAttack TimeAction -30%
Titan OilGen -2",
Mayor_407,,,3,Female,,,,,,,,"Sniper FoodNeeded -1
Sniper IronCost +10",
Mayor_408,Y,,3,Male,,,,,,,"AdvancedQuarry(5)",,
Mayor_409,Y,,3,Female,,,,,,,"PowerPlant(3)",,
Mayor_410,,,3,Male,,,,,,,,"Powerplant WoodGen -5
Powerplant GoldCost -400
Powerplant WoodCost -30
Powerplant StoneCost -20",
Mayor_411,Y,,4,Female,,,,,,,,"LuciferAttack Damage +100%",
Mayor_412,,,4,Male,,,,,,,,"StoneHouse GoldGen +10%",
Mayor_413,,,4,Female,,,,,,,,"AdvancedWindmill EnergySupply +20%",
Mayor_414,,,4,Male,,,,,,,,"PowerPlant EnergySupply +20%",
Mayor_415,,,4,Female,,,,,,,,"AdvancedFarm ResourceGeneration +20%",
Mayor_416,,,4,Male,,,,,,,,"CommandCenter ResourcesStorage +200",
Mayor_417,,,4,Female,,,,,,,,"Building DefencesLife +20%",
Mayor_418,,,4,Male,,,,,100,,,,
Mayor_419,,,4,Female,,,,200,,,,,
Aloooy6,,Y,4,Male,,,,,,,,"TitanAttack Damage +50%",
Allgoodchase,,Y,2,Male,,,,,,,"Soldier(4)",,
Akniffin,,Y,2,Male,,,,,,,"AdvancedQuarry",,
Arlinkaaa,,Y,1,Female,,,,,,,,"WareHouse ResourcesStorage +25",
Bdang,,Y,4,Male,,,,,,,"Bank",,
Boshaw,,Y,4,Male,,,,,,,"Soldier(12)",,
Caxinite,,Y,4,Male,,,,,,,,"Building EnergyNeeded -20%",
Christian,,Y,2,Male,,,,,,"TechStoneWall",,,
Darnold,,Y,2,Male,,,,,,,"Farm(2)",,
Devlinhawkes,,Y,3,Male,,,,,,,"PowerPlant",,
Dominic,,Y,2,Female,,,,,,,"Ranger(5)",,
Elginblanchard,,Y,1,Male,,,,,,,,"Soldier BuildingTimeFactor -30%
Soldier GoldCost -30%",
Epchou,,Y,4,Male,,,,,,,,"Quarry ResourceGeneration +30%
AdvancedQuarry ResourceGeneration +30%",
Gameguy,,Y,2,Male,,,,,,,,"Ranger Life +30%
Soldier Life +30%
Sniper Life +30%",
Garrettpearson,,Y,1,Male,,,,,,,,"Ranger WatchRange +1
RangerAttack ActionRange +1
RangerAttackVeteran ActionRange +1",
Georgeedward,,Y,4,Male,,,,,,,"Sniper(7)",,
Iang,,Y,3,Male,,,,,,,"AdvancedFarm",,
Internalurge,,Y,3,Male,,,,,,,,"LuciferAttack Damage +50%",
Jackcaster,,Y,2,Female,,,,,,,,"Human LifeRegenFactor +50%",
Jonassonnr,,Y,3,Male,,,,,,,"Soldier(6)",,
Jonathanhutsebau,,Y,2,Male,,,,,,,,"Sniper RunSpeed +50%",
Kregarddayz,,Y,1,Male,,,,,,,,"Sawmill WorkersNeeded -2
Quarry WorkersNeeded -2",
Linkthefox,,Y,3,Male,,30,30,30,30,,,,
Lolzman,,Y,1,Male,,,,,,,,"Technology GoldCost -10%",
Zacmoore,,Y,1,Male,,20,20,,,,,,
Saint,,Y,2,Female,,,,,,,,"Building EnergyNeeded -10%",
Sweene,,Y,3,Male,,,,,,,"WallStone(20)
GateStone(2)",,
Visperas,,Y,3,Male,,,,,,,"Sniper(4)",,
Williamamwermer,,Y,1,Male,,,,,,,,"CommandCenter FoodSupply +30",
